时间,事件类型,边界框,置信度,目标类别
2025-03-29 08:53:48.972,检测,"[208.1019287109375, 124.25468444824219, 638.4991455078125, 478.99981689453125]",0.661,person
2025-03-29 08:53:48.990,检测,"[13.4312744140625, 120.083740234375, 638.5035400390625, 479.38861083984375]",0.792,person
2025-03-29 08:53:49.008,检测,"[13.4312744140625, 120.083740234375, 638.5035400390625, 479.38861083984375]",0.792,person
2025-03-29 08:53:49.047,检测,"[15.72705078125, 120.43978881835938, 637.4988403320312, 479.3612365722656]",0.748,person
2025-03-29 08:53:49.067,检测,"[15.72705078125, 120.43978881835938, 637.4988403320312, 479.3612365722656]",0.748,person
2025-03-29 08:53:49.109,检测,"[8.646240234375, 119.8023681640625, 637.0653076171875, 479.3359375]",0.807,person
2025-03-29 08:53:49.301,检测,"[8.646240234375, 119.8023681640625, 637.0653076171875, 479.3359375]",0.807,person
2025-03-29 08:53:49.302,检测,"[20.60235595703125, 120.55010986328125, 637.900390625, 479.29644775390625]",0.792,person
2025-03-29 08:53:49.303,检测,"[20.60235595703125, 120.55010986328125, 637.900390625, 479.29644775390625]",0.792,person
2025-03-29 08:53:49.305,检测,"[13.1358642578125, 121.46078491210938, 638.4661254882812, 479.3043518066406]",0.853,person
2025-03-29 08:53:49.306,检测,"[13.1358642578125, 121.46078491210938, 638.4661254882812, 479.3043518066406]",0.853,person
2025-03-29 08:53:49.321,检测,"[14.6451416015625, 122.46688842773438, 638.845458984375, 479.4311828613281]",0.811,person
2025-03-29 08:53:49.339,检测,"[14.6451416015625, 122.46688842773438, 638.845458984375, 479.4311828613281]",0.811,person
2025-03-29 08:53:49.382,检测,"[46.066162109375, 120.36233520507812, 638.6460571289062, 479.3283386230469]",0.705,person
2025-03-29 08:53:49.400,检测,"[46.066162109375, 120.36233520507812, 638.6460571289062, 479.3283386230469]",0.705,person
2025-03-29 08:53:49.446,检测,"[20.339599609375, 119.8028564453125, 636.1796875, 479.38238525390625]",0.726,person
2025-03-29 08:53:49.466,检测,"[20.339599609375, 119.8028564453125, 636.1796875, 479.38238525390625]",0.726,person
2025-03-29 08:53:49.512,检测,"[22.128173828125, 120.18955993652344, 637.7470092773438, 479.3475341796875]",0.743,person
2025-03-29 08:53:49.531,检测,"[22.128173828125, 120.18955993652344, 637.7470092773438, 479.3475341796875]",0.743,person
2025-03-29 08:53:49.589,检测,"[24.79449462890625, 119.65921020507812, 638.1416015625, 479.3028259277344]",0.748,person
2025-03-29 08:53:49.609,检测,"[24.79449462890625, 119.65921020507812, 638.1416015625, 479.3028259277344]",0.748,person
2025-03-29 08:53:49.655,检测,"[13.60845947265625, 120.65426635742188, 637.786865234375, 479.3806457519531]",0.789,person
2025-03-29 08:53:49.674,检测,"[13.60845947265625, 120.65426635742188, 637.786865234375, 479.3806457519531]",0.789,person
2025-03-29 08:53:49.718,检测,"[22.859619140625, 120.91220092773438, 638.3880615234375, 479.3416442871094]",0.787,person
2025-03-29 08:53:49.739,检测,"[22.859619140625, 120.91220092773438, 638.3880615234375, 479.3416442871094]",0.787,person
2025-03-29 08:53:49.782,检测,"[24.48187255859375, 121.02947998046875, 638.6964111328125, 479.420654296875]",0.82,person
