时间,事件类型,边界框,置信度,目标类别
2025-03-25 15:46:29.163,检测,"[140.93463134765625, 35.32666015625, 605.644287109375, 478.05401611328125]",0.792,person
2025-03-25 15:46:29.191,检测,"[143.25262451171875, 42.66212463378906, 638.8538818359375, 480.0]",0.889,person
2025-03-25 15:46:29.426,检测,"[143.25262451171875, 42.66212463378906, 638.8538818359375, 480.0]",0.889,person
2025-03-25 15:46:29.428,检测,"[143.29132080078125, 41.066650390625, 639.3930053710938, 480.0]",0.888,person
2025-03-25 15:46:29.429,检测,"[143.29132080078125, 41.066650390625, 639.3930053710938, 480.0]",0.888,person
2025-03-25 15:46:29.430,检测,"[142.84002685546875, 42.45440673828125, 639.1103515625, 480.0]",0.893,person
2025-03-25 15:46:29.430,检测,"[142.84002685546875, 42.45440673828125, 639.1103515625, 480.0]",0.893,person
2025-03-25 15:46:29.431,检测,"[143.02210998535156, 44.406646728515625, 639.1632080078125, 480.0]",0.881,person
2025-03-25 15:46:29.433,检测,"[143.02210998535156, 44.406646728515625, 639.1632080078125, 480.0]",0.881,person
2025-03-25 15:46:29.448,检测,"[143.1937255859375, 45.74403381347656, 639.3040771484375, 480.0]",0.886,person
2025-03-25 15:46:29.475,检测,"[143.1937255859375, 45.74403381347656, 639.3040771484375, 480.0]",0.886,person
2025-03-25 15:46:29.516,检测,"[143.19207763671875, 44.03666687011719, 639.2482299804688, 480.0]",0.895,person
2025-03-25 15:46:29.544,检测,"[143.19207763671875, 44.03666687011719, 639.2482299804688, 480.0]",0.895,person
2025-03-25 15:46:29.583,检测,"[143.56976318359375, 43.01338195800781, 639.1863403320312, 480.0]",0.88,person
2025-03-25 15:46:29.612,检测,"[143.56976318359375, 43.01338195800781, 639.1863403320312, 480.0]",0.88,person
2025-03-25 15:46:29.646,检测,"[143.61773681640625, 46.31016540527344, 639.2154541015625, 480.0]",0.888,person
2025-03-25 15:46:29.665,检测,"[143.61773681640625, 46.31016540527344, 639.2154541015625, 480.0]",0.888,person
2025-03-25 15:46:29.698,检测,"[143.81007385253906, 43.1854248046875, 639.3702392578125, 480.0]",0.878,person
2025-03-25 15:46:29.727,检测,"[143.81007385253906, 43.1854248046875, 639.3702392578125, 480.0]",0.878,person
2025-03-25 15:46:29.787,检测,"[141.33311462402344, 43.36601257324219, 639.33203125, 480.0]",0.883,person
2025-03-25 15:46:29.817,检测,"[141.33311462402344, 43.36601257324219, 639.33203125, 480.0]",0.883,person
2025-03-25 15:46:29.852,检测,"[143.32301330566406, 46.194580078125, 639.3758544921875, 480.0]",0.888,person
2025-03-25 15:46:29.880,检测,"[143.32301330566406, 46.194580078125, 639.3758544921875, 480.0]",0.888,person
2025-03-25 15:46:29.920,检测,"[145.1961212158203, 44.65724182128906, 639.2456665039062, 480.0]",0.879,person
2025-03-25 15:46:29.950,检测,"[145.1961212158203, 44.65724182128906, 639.2456665039062, 480.0]",0.879,person
2025-03-25 15:46:29.979,检测,"[143.6534423828125, 45.43017578125, 639.398681640625, 480.0]",0.9,person
2025-03-25 15:46:30.009,检测,"[143.6534423828125, 45.43017578125, 639.398681640625, 480.0]",0.9,person
2025-03-25 15:46:30.034,检测,"[142.8495635986328, 42.09442138671875, 639.0401000976562, 480.0]",0.887,person
2025-03-25 15:46:30.063,检测,"[142.8495635986328, 42.09442138671875, 639.0401000976562, 480.0]",0.887,person
2025-03-25 15:46:30.112,检测,"[144.0660400390625, 46.33375549316406, 639.26220703125, 480.0]",0.887,person
2025-03-25 15:46:30.132,检测,"[144.0660400390625, 46.33375549316406, 639.26220703125, 480.0]",0.887,person
2025-03-25 15:46:30.189,检测,"[142.78623962402344, 46.58491516113281, 639.38232421875, 480.0]",0.874,person
2025-03-25 15:46:30.216,检测,"[142.78623962402344, 46.58491516113281, 639.38232421875, 480.0]",0.874,person
2025-03-25 15:46:30.254,检测,"[143.9058837890625, 46.381103515625, 639.2530517578125, 480.0]",0.884,person
2025-03-25 15:46:30.280,检测,"[143.9058837890625, 46.381103515625, 639.2530517578125, 480.0]",0.884,person
2025-03-25 15:46:30.319,检测,"[141.81341552734375, 44.37030029296875, 639.5101318359375, 480.0]",0.885,person
2025-03-25 15:46:30.350,检测,"[141.81341552734375, 44.37030029296875, 639.5101318359375, 480.0]",0.885,person
2025-03-25 15:46:30.382,检测,"[140.4595947265625, 44.20939636230469, 639.1773681640625, 480.0]",0.884,person
2025-03-25 15:46:30.412,检测,"[140.4595947265625, 44.20939636230469, 639.1773681640625, 480.0]",0.884,person
2025-03-25 15:46:30.445,检测,"[142.35064697265625, 42.90019226074219, 639.08740234375, 480.0]",0.877,person
2025-03-25 15:46:30.473,检测,"[142.35064697265625, 42.90019226074219, 639.08740234375, 480.0]",0.877,person
2025-03-25 15:46:30.502,检测,"[144.01361083984375, 42.511138916015625, 638.7899780273438, 480.0]",0.878,person
2025-03-25 15:46:30.531,检测,"[144.01361083984375, 42.511138916015625, 638.7899780273438, 480.0]",0.878,person
2025-03-25 15:46:30.580,检测,"[143.10174560546875, 43.15899658203125, 638.99072265625, 480.0]",0.878,person
2025-03-25 15:46:30.599,检测,"[143.10174560546875, 43.15899658203125, 638.99072265625, 480.0]",0.878,person
2025-03-25 15:46:30.652,检测,"[144.2454833984375, 41.75445556640625, 639.0679931640625, 480.0]",0.882,person
2025-03-25 15:46:30.680,检测,"[144.2454833984375, 41.75445556640625, 639.0679931640625, 480.0]",0.882,person
2025-03-25 15:46:30.718,检测,"[143.27587890625, 41.63218688964844, 638.7469482421875, 480.0]",0.885,person
2025-03-25 15:46:30.748,检测,"[143.27587890625, 41.63218688964844, 638.7469482421875, 480.0]",0.885,person
2025-03-25 15:46:30.781,检测,"[143.51336669921875, 40.301849365234375, 638.90478515625, 480.0]",0.882,person
2025-03-25 15:46:30.809,检测,"[143.51336669921875, 40.301849365234375, 638.90478515625, 480.0]",0.882,person
2025-03-25 15:46:30.834,检测,"[143.3698272705078, 39.01286315917969, 638.5883178710938, 480.0]",0.882,person
2025-03-25 15:46:30.863,检测,"[143.3698272705078, 39.01286315917969, 638.5883178710938, 480.0]",0.882,person
2025-03-25 15:46:30.909,检测,"[143.7791748046875, 42.857177734375, 638.4512939453125, 480.0]",0.888,person
2025-03-25 15:46:30.936,检测,"[143.7791748046875, 42.857177734375, 638.4512939453125, 480.0]",0.888,person
2025-03-25 15:46:30.963,检测,"[145.68157958984375, 44.78370666503906, 638.341064453125, 480.0]",0.877,person
2025-03-25 15:46:30.993,检测,"[145.68157958984375, 44.78370666503906, 638.341064453125, 480.0]",0.877,person
2025-03-25 15:46:31.042,检测,"[145.32383728027344, 43.91844177246094, 638.162109375, 480.0]",0.889,person
2025-03-25 15:46:31.071,检测,"[145.32383728027344, 43.91844177246094, 638.162109375, 480.0]",0.889,person
2025-03-25 15:46:31.116,检测,"[144.570068359375, 43.138214111328125, 638.3602294921875, 480.0]",0.885,person
2025-03-25 15:46:31.143,检测,"[144.570068359375, 43.138214111328125, 638.3602294921875, 480.0]",0.885,person
2025-03-25 15:46:31.182,检测,"[146.53204345703125, 42.558837890625, 638.517822265625, 480.0]",0.895,person
2025-03-25 15:46:31.211,检测,"[146.53204345703125, 42.558837890625, 638.517822265625, 480.0]",0.895,person
2025-03-25 15:46:31.248,检测,"[146.12062072753906, 43.257080078125, 638.3470458984375, 480.0]",0.877,person
2025-03-25 15:46:31.274,检测,"[146.12062072753906, 43.257080078125, 638.3470458984375, 480.0]",0.877,person
2025-03-25 15:46:31.309,检测,"[144.896484375, 46.05186462402344, 638.3243408203125, 480.0]",0.883,person
2025-03-25 15:46:31.338,检测,"[144.896484375, 46.05186462402344, 638.3243408203125, 480.0]",0.883,person
2025-03-25 15:46:31.376,检测,"[146.16648864746094, 42.7073974609375, 638.41259765625, 480.0]",0.888,person
2025-03-25 15:46:31.395,检测,"[146.16648864746094, 42.7073974609375, 638.41259765625, 480.0]",0.888,person
2025-03-25 15:46:31.454,检测,"[145.30030822753906, 43.826171875, 638.123046875, 480.0]",0.885,person
2025-03-25 15:46:31.478,检测,"[145.30030822753906, 43.826171875, 638.123046875, 480.0]",0.885,person
2025-03-25 15:46:31.518,检测,"[145.69842529296875, 42.95396423339844, 638.2730102539062, 480.0]",0.883,person
2025-03-25 15:46:31.545,检测,"[145.69842529296875, 42.95396423339844, 638.2730102539062, 480.0]",0.883,person
2025-03-25 15:46:31.582,检测,"[145.60546875, 44.76548767089844, 638.4862060546875, 480.0]",0.878,person
2025-03-25 15:46:31.610,检测,"[145.60546875, 44.76548767089844, 638.4862060546875, 480.0]",0.878,person
2025-03-25 15:46:31.646,检测,"[146.21429443359375, 44.59205627441406, 638.842041015625, 480.0]",0.881,person
2025-03-25 15:46:31.665,检测,"[146.21429443359375, 44.59205627441406, 638.842041015625, 480.0]",0.881,person
2025-03-25 15:46:31.708,检测,"[146.49903869628906, 44.05322265625, 638.6607666015625, 480.0]",0.888,person
2025-03-25 15:46:31.737,报警,"[143.25262451171875, 42.66212463378906, 638.8538818359375, 480.0]",0.889,person
2025-03-25 15:46:31.738,检测,"[146.49903869628906, 44.05322265625, 638.6607666015625, 480.0]",0.888,person
2025-03-25 15:46:31.763,检测,"[145.418701171875, 44.18153381347656, 638.6527709960938, 480.0]",0.879,person
