时间,事件类型,边界框,置信度,目标类别
2025-03-26 09:52:09.871,检测,"[160.7386932373047, 108.44036865234375, 604.4827270507812, 478.8587646484375]",0.865,person
2025-03-26 09:52:10.058,检测,"[156.49098205566406, 106.4188232421875, 582.732666015625, 479.4931640625]",0.887,person
2025-03-26 09:52:10.059,检测,"[158.00390625, 107.91007995605469, 582.855712890625, 479.50494384765625]",0.867,person
2025-03-26 09:52:10.061,检测,"[157.1390380859375, 107.26124572753906, 582.65234375, 479.4986572265625]",0.864,person
2025-03-26 09:52:10.062,检测,"[156.94317626953125, 107.26904296875, 585.4396362304688, 479.4981689453125]",0.874,person
2025-03-26 09:52:10.062,检测,"[157.52220153808594, 106.88020324707031, 582.95751953125, 479.52044677734375]",0.867,person
2025-03-26 09:52:10.063,检测,"[157.42572021484375, 106.85787963867188, 584.249755859375, 479.5122985839844]",0.866,person
2025-03-26 09:52:10.063,检测,"[157.93748474121094, 107.12336730957031, 581.3966064453125, 479.52313232421875]",0.879,person
2025-03-26 09:52:10.064,检测,"[155.8115234375, 106.50404357910156, 582.6788940429688, 479.4971923828125]",0.88,person
2025-03-26 09:52:10.084,检测,"[157.4739227294922, 107.20993041992188, 584.0194702148438, 479.5032043457031]",0.866,person
2025-03-26 09:52:10.113,检测,"[156.92962646484375, 106.34268188476562, 582.7060546875, 479.5193786621094]",0.867,person
2025-03-26 09:52:10.146,检测,"[157.77508544921875, 106.81390380859375, 582.88232421875, 479.51385498046875]",0.868,person
2025-03-26 09:52:10.179,检测,"[156.5728759765625, 106.88922119140625, 581.624267578125, 479.53680419921875]",0.884,person
2025-03-26 09:52:10.208,检测,"[156.73426818847656, 106.28923034667969, 581.687255859375, 479.52581787109375]",0.88,person
2025-03-26 09:52:10.240,检测,"[157.41064453125, 107.11454772949219, 581.8626098632812, 479.53021240234375]",0.869,person
2025-03-26 09:52:10.273,检测,"[156.12513732910156, 107.71134948730469, 585.3671875, 479.49176025390625]",0.884,person
2025-03-26 09:52:10.304,检测,"[156.91510009765625, 107.29075622558594, 582.2564697265625, 479.475830078125]",0.869,person
2025-03-26 09:52:10.340,检测,"[157.799072265625, 107.2852783203125, 582.6300048828125, 479.47332763671875]",0.867,person
2025-03-26 09:52:10.369,检测,"[157.203369140625, 106.89801025390625, 583.2384033203125, 479.499267578125]",0.875,person
2025-03-26 09:52:10.401,检测,"[156.71673583984375, 106.19566345214844, 583.0708618164062, 479.4937744140625]",0.875,person
2025-03-26 09:52:10.449,检测,"[156.79498291015625, 107.22927856445312, 584.063232421875, 479.5199890136719]",0.879,person
2025-03-26 09:52:10.482,检测,"[156.03562927246094, 107.78475952148438, 581.4439697265625, 479.4794006347656]",0.882,person
2025-03-26 09:52:10.511,检测,"[156.563232421875, 107.18539428710938, 581.880859375, 479.5148010253906]",0.88,person
2025-03-26 09:52:10.546,检测,"[157.257080078125, 106.86508178710938, 581.2734375, 479.4880676269531]",0.864,person
2025-03-26 09:52:10.578,检测,"[156.7857666015625, 105.96101379394531, 582.36376953125, 479.45782470703125]",0.872,person
2025-03-26 09:52:10.610,检测,"[156.91119384765625, 107.31784057617188, 582.8488159179688, 479.5259094238281]",0.873,person
2025-03-26 09:52:10.642,检测,"[156.6627197265625, 107.36479187011719, 584.872802734375, 479.49786376953125]",0.868,person
2025-03-26 09:52:10.674,检测,"[157.07814025878906, 107.26023864746094, 581.5333251953125, 479.5040283203125]",0.875,person
2025-03-26 09:52:10.706,检测,"[157.79383850097656, 107.03700256347656, 582.296142578125, 479.491943359375]",0.856,person
2025-03-26 09:52:10.738,检测,"[156.8580322265625, 106.14356994628906, 585.7757568359375, 479.5355224609375]",0.872,person
2025-03-26 09:52:10.771,检测,"[157.85693359375, 106.83659362792969, 581.99462890625, 479.51666259765625]",0.856,person
2025-03-26 09:52:10.803,检测,"[157.15228271484375, 106.16242980957031, 582.5376586914062, 479.52984619140625]",0.878,person
2025-03-26 09:52:10.848,检测,"[156.34376525878906, 107.31913757324219, 583.231689453125, 479.51593017578125]",0.871,person
2025-03-26 09:52:10.881,检测,"[157.95904541015625, 106.13197326660156, 581.9142456054688, 479.5245361328125]",0.876,person
2025-03-26 09:52:10.914,检测,"[156.5572509765625, 105.87004089355469, 582.50927734375, 479.50323486328125]",0.862,person
2025-03-26 09:52:10.946,检测,"[158.3726806640625, 106.02186584472656, 581.499755859375, 479.49169921875]",0.849,person
2025-03-26 09:52:10.978,检测,"[157.84527587890625, 104.77294921875, 582.87744140625, 479.40582275390625]",0.867,person
2025-03-26 09:52:11.009,检测,"[157.9674835205078, 105.65620422363281, 582.1315307617188, 479.38201904296875]",0.851,person
2025-03-26 09:52:11.041,检测,"[159.77134704589844, 106.61862182617188, 584.76220703125, 479.3925476074219]",0.85,person
2025-03-26 09:52:11.074,检测,"[162.41436767578125, 105.96968078613281, 582.8831176757812, 479.36761474609375]",0.883,person
2025-03-26 09:52:11.104,检测,"[163.2338409423828, 110.63481140136719, 592.3850708007812, 479.28472900390625]",0.889,person
2025-03-26 09:52:11.139,检测,"[162.78192138671875, 110.97990417480469, 598.5040283203125, 479.37493896484375]",0.883,person
2025-03-26 09:52:11.168,检测,"[161.41920471191406, 110.34359741210938, 592.9552001953125, 479.3324279785156]",0.87,person
2025-03-26 09:52:11.202,检测,"[160.88775634765625, 109.5096435546875, 593.6314086914062, 479.391845703125]",0.874,person
2025-03-26 09:52:11.249,检测,"[155.26116943359375, 108.84004211425781, 598.4208374023438, 479.31939697265625]",0.868,person
2025-03-26 09:52:11.282,检测,"[146.8853759765625, 110.05166625976562, 584.171630859375, 479.2701721191406]",0.852,person
2025-03-26 09:52:11.313,检测,"[145.16258239746094, 109.93571472167969, 585.4769287109375, 479.30694580078125]",0.871,person
2025-03-26 09:52:11.346,检测,"[144.5888671875, 110.398681640625, 589.0811767578125, 479.2906494140625]",0.875,person
2025-03-26 09:52:11.376,检测,"[146.76649475097656, 109.87457275390625, 588.7838134765625, 479.4012451171875]",0.876,person
2025-03-26 09:52:11.411,检测,"[149.07701110839844, 110.83270263671875, 587.574951171875, 479.29937744140625]",0.878,person
